action_ref,inspection_id,site_name,category,raised_date,due_date,closed_date,owner_id,action_description
AC-395,SI-2026-0069,Luton  Percival Hub,Signage,2026-02-13,2026-03-06,2026-03-08,10,Display current statutory notices at the dock office
AC-396,SI-2026-0064,Dundee Camperdown Depot ,Storage,2026-02-14,2026-02-28,2026-03-12,8,Redistribute load and check beam at the dock office
AC-397,SI-2026-0065,Gloucester Quays Hub,Fire safety,2026-02-14,2026-03-07,2026-02-19,3,Arrange service or replacement of extinguisher at the dock office
AC-398,SI-2026-0071,Deeside Park Depot,Storage,2026-02-18,2026-03-18,2026-03-13,10,Redistribute load and check beam at level 2
AC-399,SI-2026-0074,Northampton Crossfield Hub,Fire safety,2026-02-19,2026-03-19,2026-03-07,1,Adjust and repair fire door at store B
AC-400,SI-2026-0080,Northampton Crossfield Hub,Housekeeping,2026-02-23,2026-03-16,2026-03-04,4,Clear staged pallets from pedestrian route near the yard gate
AC-401,SI-2026-0079,Dundee Camperdown Depot,Housekeeping,2026-02-24,2026-03-17,2026-03-09,10,Restock spill kit at aisle 4
AC-402,SI-2026-0079,Dundee Camperdown Depot,Signage,2026-02-25,2026-03-11,2026-03-03,10,Display current statutory notices at aisle 4
AC-403,SI-2026-0081,Reading Green Park Depot,Signage,2026-02-25,2026-03-25,2026-03-09,1,Re-mark pedestrian walkway at the north stairwell
AC-404,SI-2026-0083,Coventry Gateway Hub,Signage,2026-02-25,2026-03-18,2026-03-03,10,Display current statutory notices at bay 2
AC-405,SI-2026-0091,Reading Green Park Depot,Electrical,2026-02-25,2026-03-11,2026-03-19,6,Clear access to isolation switch at the yard gate
AC-406,SI-2026-0083,Coventry Gateway Hub,Fire safety,2026-02-26,2026-03-12,2026-03-14,9,Adjust and repair fire door at aisle 4
AC-407,SI-2026-0090,Hull Fleet Depot,Signage,2026-02-26,2026-03-26,2026-03-13,10,Relocate stock obscuring escape signage at the welfare cabin
AC-408,SI-2026-0096,Tyne Dock Depot,Housekeeping,2026-02-27,2026-03-13,2026-03-08,9,Clear and clean work area at the east exit
AC-409,SI-2026-0097,Wrexham Industrial Hub,Fire safety,2026-02-28,2026-03-14,2026-03-06,6,Clear access to fire alarm call point at the main workshop
AC-410,SI-2026-0093,Crewe Annex,Housekeeping,2026-03-01,2026-03-22,2026-03-27,6,Arrange additional waste collection at loading bay 6
AC-411,SI-2026-0097,Wrexham Industrial Hub,Storage,2026-03-01,2026-03-29,2026-03-06,1,Remove untagged stepladder from store B
AC-412,SI-2026-0098,Taunton Priory Depot,PPE & welfare,2026-03-03,2026-03-17,2026-03-13,9,Repair hot water supply in welfare room at loading bay 6
AC-413,SI-2026-0099,Ashford Orbital Yard,Signage,2026-03-04,2026-03-25,2026-03-29,8,Display current statutory notices at level 2
AC-414,SI-2026-0104,Clydebank Riverside Depot,PPE & welfare,2026-03-09,2026-04-06,2026-03-18,9,Repair hot water supply in welfare room at store B
AC-415,SI-2026-0105,Coventry Gateway Hub,Housekeeping,2026-03-12,2026-04-09,2026-03-20,3,Arrange additional waste collection at the mezzanine
AC-416,SI-2026-0110,Ashford Orbital Yard,Signage,2026-03-14,2026-04-04,2026-04-21,9,Install hazard signage at level 2 crossing
AC-417,SI-2026-0120,Wrexham Industrial Hub,Fire safety,2026-03-16,2026-04-13,2026-03-26,4,Adjust and repair fire door at aisle 4
AC-418,SI-2026-0120,Wrexham Industrial Hub,Fire safety,2026-03-16,2026-04-13,2026-03-23,1,Service emergency lighting at the mezzanine
AC-419,SI-2026-0117,Derby Litchurch Yard,PPE & welfare,2026-03-17,2026-04-07,2026-04-01,2,Rebrief PPE requirements for store B
AC-420,SI-2026-0119,Wolverhampton Basin Depot,Fire safety,2026-03-18,2026-04-01,2026-03-27,9,Service emergency lighting at level 2
AC-421,SI-2026-0123,Dartford Clearway Depot,Fire safety,2026-03-18,2026-04-15,2026-03-25,10,Clear access to fire alarm call point at the north stairwell
AC-422,SI-2026-0130,Medway City Depot,Storage,2026-03-20,2026-04-10,2026-04-08,3,Redistribute load and check beam at the dock office
AC-423,SI-2026-0135,Inverness Longman Depot,Fire safety,2026-03-24,2026-04-07,2026-04-13,10,Clear access to fire alarm call point at aisle 4
AC-424,SI-2026-0132,Avonmouth 3,PPE & welfare,2026-03-25,2026-04-15,2026-04-06,10,Restock first-aid kit at the dock office
AC-425,SI-2026-0136,Neath Yard,Signage,2026-03-26,2026-04-09,2026-04-15,9,Re-mark pedestrian walkway at the east exit
AC-426,SI-2026-0137,Bradford Interchange Depot,Fire safety,2026-03-27,2026-04-17,2026-04-05,4,Clear access to fire alarm call point at the main workshop
AC-427,SI-2026-0142,Rugby Junction Depot,Signage,2026-03-27,2026-04-10,2026-04-02,8,Relocate stock obscuring escape signage at the welfare cabin
AC-428,SI-2026-0143,Crewe Annex,Electrical,2026-03-31,2026-04-21,2026-04-06,2,Close and label distribution board at the dock office
AC-429,SI-2026-0144,Fenton Works,Storage,2026-04-01,2026-04-29,2026-04-11,5,Update COSHH register at aisle 4
AC-430,SI-2026-0149,Rugby Junction Depot,Storage,2026-04-01,2026-04-15,2026-04-15,5,Remove untagged stepladder from the east exit
AC-431,SI-2026-0158,Rugby Junction Depot,Storage,2026-04-05,2026-04-19,2026-04-20,10,Redistribute load and check beam at loading bay 6
AC-432,SI-2026-0160,Luton Percival Hub,Fire safety,2026-04-06,2026-04-20,2026-04-15,4,Clear access to fire alarm call point at the north stairwell
AC-433,SI-2026-0170,Slough Trading Depot,Fire safety,2026-04-12,2026-05-03,2026-04-19,10,Arrange service or replacement of extinguisher at bay 2
AC-434,SI-2026-0177,Teesport Yard,PPE & welfare,2026-04-15,2026-05-06,2026-05-05,1,Restock first-aid kit at level 2
AC-435,SI-2026-0182,Inverness Longman Depot,PPE & welfare,2026-04-19,2026-05-17,,5,Replace eye-wash bottle at bay 2
AC-436,SI-2026-0187,Deeside Park Depot,Fire safety,2026-04-21,2026-05-19,2026-05-08,4,Service emergency lighting at the dock office
AC-437,SI-2026-0184,Falkirk Hub,PPE & welfare,2026-04-22,2026-05-13,2026-04-28,1,Rebrief PPE requirements for the welfare cabin
AC-438,SI-2026-0189,Dartford Clearway Depot,PPE & welfare,2026-04-23,2026-05-07,2026-05-15,8,Repair hot water supply in welfare room at bay 2
AC-439,SI-2026-0191,Dundee Camperdown Depot,Signage,2026-04-23,2026-05-14,2026-05-05,5,Display current statutory notices at aisle 4
AC-440,SI-2026-0195,Fenton Works,Fire safety,2026-04-24,2026-05-15,2026-05-08,9,Service emergency lighting at the north stairwell
AC-441,SI-2026-0198,Perth North,Storage,2026-04-24,2026-05-15,2026-05-14,5,Redistribute load and check beam at loading bay 6
AC-442,SI-2026-0197,Northampton Crossfield Hub,Signage,2026-04-25,2026-05-09,2026-05-04,5,Install hazard signage at level 2 crossing
AC-443,SI-2026-0198,Perth North,Fire safety,2026-04-25,2026-05-23,,2,Service emergency lighting at level 2
AC-444,SI-2026-0201,Tyne Dock Depot,Electrical,2026-04-27,2026-05-18,,,Close and label distribution board at the east exit
AC-445,SI-2026-0203,Taunton Priory Depot,PPE & welfare,2026-04-28,2026-05-19,,,Rebrief PPE requirements for the dock office
AC-446,SI-2026-0205,Kingsway Depot,Storage,2026-05-02,2026-05-30,,10,Book racking inspection for aisle 4
AC-447,SI-2026-0206,Aberdeen Harbour Yard,PPE & welfare,2026-05-02,2026-05-16,2026-05-28,9,Restock first-aid kit at the dock office
AC-448,SI-2026-0206,Aberdeen Harbour Yard,Signage,2026-05-02,2026-05-16,2026-05-14,10,Re-mark pedestrian walkway at loading bay 6
AC-449,SI-2026-0209,Medway City Depot,Storage,2026-05-04,2026-06-01,2026-05-07,5,Book racking inspection for level 2
AC-450,SI-2026-0209,Medway City Depot,Storage,2026-05-04,2026-05-18,2026-06-02,4,Remove untagged stepladder from store B
AC-451,SI-2026-0209,Medway City Depot,Signage,2026-05-06,2026-05-27,,5,Relocate stock obscuring escape signage at the north stairwell
AC-452,SI-2026-0217,Preston Brook Depot,Electrical,2026-05-10,2026-05-31,2026-05-20,1,Clear access to isolation switch at the yard gate
AC-453,SI-2026-0222,Salford Quays Depot,Electrical,2026-05-11,2026-05-25,2026-05-18,10,Clear access to isolation switch at the east exit
AC-454,SI-2026-0222,Salford Quays Depot,Signage,2026-05-11,2026-05-25,2026-05-20,9,Install hazard signage at the welfare cabin crossing
AC-455,SI-2026-0222,Salford Quays Depot,Electrical,2026-05-12,2026-05-26,2026-05-24,10,Close and label distribution board at loading bay 6
AC-456,SI-2026-0228,Swansea Fabian Way Depot,PPE & welfare,2026-05-14,2026-05-28,,10,Rebrief PPE requirements for the welfare cabin
AC-457,SI-2026-0232,Avonmouth 3,Fire safety,2026-05-20,2026-06-03,2026-06-16,10,Clear access to fire alarm call point at the north stairwell
AC-458,SI-2026-0232,Avonmouth 3,Housekeeping,2026-05-20,2026-06-10,,9,Clear and clean work area at bay 2
AC-459,SI-2026-0242,Slough Trading Depot,Housekeeping,2026-05-21,2026-06-11,2026-06-22,4,Clear staged pallets from pedestrian route near loading bay 6
AC-460,SI-2026-0246,Livingston Deans Hub,Signage,2026-05-23,2026-06-13,,1,Re-mark pedestrian walkway at the main workshop
AC-461,SI-2026-0255,Avonmouth 3,Signage,2026-05-28,2026-06-18,,9,Relocate stock obscuring escape signage at level 2
AC-462,SI-2026-0254,Derby Litchurch Yard,Signage,2026-05-29,2026-06-19,,2,Install hazard signage at level 2 crossing
AC-463,SI-2026-0258,Swansea Fabian Way Depot,Fire safety,2026-05-29,2026-06-26,2026-06-04,5,Service emergency lighting at the mezzanine
AC-464,SI-2026-0265,Fenton Works,Fire safety,2026-06-04,2026-06-25,,5,Service emergency lighting at bay 2
AC-465,SI-2026-0268,Avonmouth 3,Signage,2026-06-05,2026-06-26,2026-06-09,5,Install hazard signage at bay 2 crossing
AC-466,SI-2026-0268,Avonmouth 3,Fire safety,2026-06-07,2026-06-21,2026-06-18,4,Service emergency lighting at the main workshop
AC-467,SI-2026-0271,Rugby Junction Depot,Signage,2026-06-07,2026-07-05,,4,Relocate stock obscuring escape signage at the east exit
AC-468,SI-2026-0273,Gloucester Quays Hub,Housekeeping,2026-06-08,2026-06-29,2026-06-18,8,Clear and clean work area at level 2
AC-469,SI-2026-0277,Swansea Fabian Way Depot,Storage,2026-06-10,2026-07-08,2026-06-26,1,Remove untagged stepladder from the dock office
AC-470,SI-2026-0280,Dartford Clearway Depot,Signage,2026-06-11,2026-07-02,,4,Install hazard signage at loading bay 6 crossing
AC-471,SI-2026-0276,Luton Percival Hub,Fire safety,2026-06-12,2026-07-03,,8,Clear access to fire alarm call point at bay 2
AC-472,SI-2026-0276,Luton Percival Hub,PPE & welfare,2026-06-12,2026-07-03,2026-06-16,10,Restock first-aid kit at the mezzanine
AC-473,SI-2026-0282,Teesport Yard,PPE & welfare,2026-06-17,2026-07-08,,2,Rebrief PPE requirements for the east exit
AC-474,SI-2026-0285,Slough Trading Depot,Electrical,2026-06-17,2026-07-08,,10,Remove and replace damaged extension lead at loading bay 6
AC-475,SI-2026-0285,Slough Trading Depot,PPE & welfare,2026-06-18,2026-07-16,2026-06-24,9,Rebrief PPE requirements for the mezzanine
AC-476,SI-2026-0284,Rugby Junction Depot,PPE & welfare,2026-06-19,2026-07-03,,9,Repair hot water supply in welfare room at the yard gate
AC-477,SI-2026-0286,Coventry Gateway Hub,Storage,2026-06-19,2026-07-17,,1,Redistribute load and check beam at level 2
AC-478,SI-2026-0289,Kingsway Depot,Housekeeping,2026-06-20,2026-07-18,,10,Clear and clean work area at the welfare cabin
AC-479,SI-2026-0292,Basildon Marsh Hub,Fire safety,2026-06-25,2026-07-09,,8,Clear access to fire alarm call point at bay 2
AC-480,SI-2026-0295,Bradford Interchange Depot,PPE & welfare,2026-06-25,2026-07-16,,9,Rebrief PPE requirements for the north stairwell
AC-481,SI-2026-0294,Avonmouth 3,Signage,2026-06-26,2026-07-17,,9,Re-mark pedestrian walkway at loading bay 6
AC-482,SI-2026-0299,Gloucester Quays Hub,PPE & welfare,2026-06-26,2026-07-24,,5,Restock first-aid kit at loading bay 6
AC-483,SI-2026-0302,Swansea Fabian Way Depot,Signage,2026-06-26,2026-07-17,,2,Re-mark pedestrian walkway at the north stairwell
AC-484,SI-2026-0341,Medway City Depot,Housekeeping,2026-05-14,2026-06-04,2026-05-27,4,Arrange additional waste collection at the yard gate
